,POPESTIMATE,Amount Overpaid,Total Unemployment Paid,Improper_Payment_Rate,Fraud Rate,Unemploy_Year,State,Code,FFTOT_CAPI,OTHCP_FF,TOTAL_CAPI,GFTOT_CAPI,OFTOT_CAPI,FFTOT_CAP,TOTAL REV,party
41,884659,1164218.0,26137853.0,0.04573,,2020,South Dakota,SD,1451.0,9.0,4488.0,1638.0,1367.0,9.0,1674.0,Republican
42,6829174,22347972.0,178987901.0,0.12552,,2020,Tennessee,TN,12479.0,3.0,33826.0,14708.0,6608.0,893.0,15442.0,Republican
43,28995881,91627454.0,2145795838.0,0.04471,,2020,Texas,TX,40112.0,0.0,121935.0,55645.0,25227.0,4071.0,57867.5,
44,3205958,6362534.0,137552068.0,0.04724,,2020,Utah,UT,3913.0,2.0,16601.0,7493.0,5045.0,351.0,7542.983,
45,623989,1452104.0,32647947.0,0.0461,,2020,Vermont,VT,1887.0,0.0,5836.0,1650.0,2212.0,188.0,1611.0,
46,8535519,25319516.0,272081329.0,0.09364,,2020,Virginia,VA,11447.0,14.0,55263.0,21774.0,20734.0,20.0,20528.7,
47,7614893,96651178.0,931101583.0,0.1051,,2020,Washington,WA,12857.0,12.0,50512.0,22936.0,12204.0,46.0,22430.0,
48,1792147,10715625.0,196096172.0,0.06091,,2020,West Virginia,WV,4692.0,13.0,17946.0,3868.0,9361.0,497.0,4756.0,
49,5822434,69078483.0,359706466.0,0.19616,,2020,Wisconsin,WI,11787.300000000001,0.0,50243.3,17151.899999999998,21304.100000000002,0.0,17341.0,Republican
50,578759,3400596.0,53003255.0,0.0736,,2020,Wyoming,WY,844.0,68.0,4708.0,1507.0,2357.0,68.0,1394.0,Republican
0,4903185,10881176.0,149085771.0,0.07345,,2019,Alabama,AL,9968.0,0.0,27475.0,8268.0,8650.0,234.0,8750.0,
1,731545,10080630.0,88513892.0,0.11923,,2019,Alaska,AK,3615.0,28.0,10291.1,4510.7,2165.4,1189.0,2414.0,Independent
2,7278717,31557900.0,203029801.0,0.15549,,2019,Arizona,AZ,12976.9,0.0,35146.9,9808.0,11989.0,541.0,10107.2,
3,3017804,10203598.0,97442054.0,0.10735,,2019,Arkansas,AR,7923.160711,0.0,25506.269063,5369.474853000001,12170.117395000001,497.88898,6726.8,
4,39512223,387675371.0,5000806176.0,0.07886,,2019,California,CA,92351.792,39.20499999999993,269667.748,124756.108,49654.665,1858.205,135494.0,Democrat
5,5758736,38247246.0,374758198.0,0.10868,,2019,Colorado,CO,9928.300000000001,0.0,39814.40000000001,11307.800000000001,18578.300000000003,0.0,12341.0,Democrat
6,3565287,75043360.0,577150884.0,0.13353,,2019,Connecticut,CT,6140.517,0.0,33148.482202,18610.709202,5484.256,478.0,18198.550857,Democrat
7,973764,4148927.0,60875911.0,0.07081,,2019,Delaware,DE,2492.0,0.0,10846.7,4118.0,3990.0,347.0,4393.0,
8,21477737,32216293.0,321651629.0,0.10029,,2019,Florida,FL,27401.0,0.0,78523.0,31658.0,17902.0,2851.0,31219.0,Republican
9,10617423,12250762.0,300437311.0,0.04094,,2019,Georgia,GA,14446.71972241,0.0,51554.525437999175,23674.68542758918,12266.370287999998,1189.299947,24320.0,Republican
10,1415872,6697333.0,158001892.0,0.04802,,2019,Hawaii,HI,2628.0,36.0,15198.9,7803.9,3636.0,199.0,7661.0,
11,1787065,11859202.0,82986430.0,0.14772,,2019,Idaho,ID,2684.0,33.0,7963.0,3465.0,1814.0,259.0,3732.0,Republican
12,12671821,143565846.0,1586002413.0,0.10077,,2019,Illinois,IL,16940.18463675,0.0,72782.6056277,35408.8,19899.74099095,83.79724471,36943.0,Republican
13,6732219,13538005.0,230583984.0,0.06035,,2019,Indiana,IN,13578.0,0.0,33621.0,15846.0,4197.0,0.0,15571.0,
14,3155070,32357561.0,368273053.0,0.09368,,2019,Iowa,IA,6260.0,23.0,23382.0,7254.0,9860.0,474.0,7384.0,
15,2913314,19892352.0,137367191.0,0.14537,,2019,Kansas,KS,3775.48,16.3,15911.88,6638.0,5099.0,208.3,7298.0,Republican
16,2913314,19892352.0,137367191.0,0.14537,,2019,Kansas,KS,3775.48,16.3,15911.88,6638.0,5099.0,208.3,7298.0,Republican
17,4467673,35212803.0,283910307.0,0.12705,,2019,Kentucky,KY,12442.0,0.0,34053.0,11221.0,10390.0,0.0,10838.199999999999,Republican
18,4648794,10102693.0,130872830.0,0.07765,,2019,Louisiana,LA,12084.922232,10.0,31252.252807,9547.703987,9327.626588,600.0,9886.30966999,
19,1344212,4674789.0,78845508.0,0.06052,,2019,Maine,ME,2698.0,10.88,8412.0,3416.0,2192.0,153.87,3588.0,Republican
20,6045680,112939747.0,438957187.0,0.25766,,2019,Maryland,MD,12147.0,44.0,43796.0,17169.0,13025.0,920.0,17372.0,
21,6892503,309305952.0,1459027602.0,0.21881,,2019,Massachusetts,MA,14431.5,0.0,57123.299999999996,27194.5,12803.2,616.1,32442.36,
22,9986857,205686208.0,638364480.0,0.32333,,2019,Michigan,MI,20733.0,5.0,56613.0,10148.0,25586.0,1054.4,10796.8,Republican
23,5639632,43755391.0,772411866.0,0.05759,,2019,Minnesota,MN,11353.0,0.0,39818.583816,22347.0,5711.000000000002,0.0,22061.705000000005,Democrat
24,2976149,4967490.0,59955906.0,0.08332,,2019,Mississippi,MS,7787.0,3.9,19117.71,5574.900000000001,5088.799999999999,360.69999999999993,5691.599999999999,Republican
25,6137428,22935600.0,226275675.0,0.10196,,2019,Missouri,MO,8360.0,14.0,26038.0,9263.0,8225.0,14.0,9469.0,Republican
26,1068778,9434542.0,102567455.0,0.09349,,2019,Montana,MT,2863.0,0.0,6952.0,2242.0,1847.0,0.0,2405.4469999999997,
27,1934408,8089045.0,63826095.0,0.12695,,2019,Nebraska,NE,3101.0,30.0,12141.0,4350.0,4690.0,343.0,4567.0,
28,3080156,27480620.0,261728316.0,0.10762,,2019,Nevada,NV,4940.3,7.0,14842.699999999999,4032.6,5588.0,316.0,4018.0,Republican
29,1359711,3726534.0,41213453.0,0.09391,,2019,New Hampshire,NH,2297.0,0.0,6131.0,1504.0,2257.0,12.0,1596.0,
30,8882190,197677641.0,1837583742.0,0.12122,,2019,New Jersey,NJ,15628.0,29.0,60775.0,35124.0,7883.0,1860.0,35851.0,Republican
31,2096829,5684620.0,132242923.0,0.04502,,2019,New Mexico,NM,8496.0,17.0,20402.0,6102.0,5297.0,479.0,6882.0,Republican
32,19453561,264230484.0,2063537864.0,0.13284,,2019,New York,NY,56808.0,91.0,163744.0,69724.0,32502.0,1855.0,71420.0,
33,10488084,22619176.0,124099670.0,0.18658,,2019,North Carolina,NC,15173.5,0.0,47794.600000000006,22746.4,9626.7,1429.8,23565.19055293999,
34,762062,6349830.0,79560476.0,0.0805,,2019,North Dakota,ND,1472.0,2.0,5889.0,2103.0,2289.0,206.0,2350.0,
35,11689100,98053873.0,802340511.0,0.12321,,2019,Ohio,OH,15113.12736524,3.0,69681.30793252801,31725.598983454,19974.687424154014,1183.0,32471.267382309998,Republican
36,3956971,9566945.0,207523136.0,0.04859,,2019,Oklahoma,OK,7522.0,30.0,22669.0,5854.0,8915.0,495.0,5854.0,Republican
37,4217737,47255813.0,467809120.0,0.10705,,2019,Oregon,OR,10476.020905,17.385351,40619.855768,10180.207584,19801.137883,20.911151,10244.3,
38,12801989,145415561.0,1771170021.0,0.08398,,2019,Pennsylvania,PA,29145.0,0.0,84908.0,31948.0,23188.0,0.0,34567.0,
40,1059361,27045281.0,145017358.0,0.1886,,2019,Rhode Island,RI,2996.0,40.0,9262.0,3799.0,2237.0,179.0,3908.0,
41,5148714,17144176.0,144560295.0,0.12,,2019,South Carolina,SC,8593.0,11.0,25257.0,8056.0,8433.0,17.0,8706.0,
42,884659,1630144.0,26354478.0,0.06371,,2019,South Dakota,SD,1407.0,19.0,4457.0,1591.0,1439.0,19.0,1616.0,Republican
43,6829174,25320240.0,181541251.0,0.14166,,2019,Tennessee,TN,12618.0,7.0,33562.0,14780.0,6164.0,920.0,14294.0,Republican
44,28995881,100704163.0,1918845569.0,0.0532,,2019,Texas,TX,39376.0,0.0,114592.0,55643.0,18537.0,3931.0,57154.0,
45,3205958,5701602.0,143976256.0,0.04003,,2019,Utah,UT,3924.0,18.0,14789.0,6739.0,3794.0,387.0,7038.526,
46,623989,1669221.0,62123298.0,0.02931,,2019,Vermont,VT,1926.0,0.0,5675.0,1587.0,2098.0,221.0,1559.0,
47,8535519,34227622.0,285316526.0,0.12514,,2019,Virginia,VA,10164.0,24.0,52078.0,20886.0,20070.0,37.0,19328.18,Democrat
48,7614893,138767127.0,886207341.0,0.15925,,2019,Washington,WA,12293.0,8.0,46021.0,20535.0,12219.0,566.0,21712.0,
49,1792147,6124263.0,144359045.0,0.04667,,2019,West Virginia,WV,4481.0,11.0,16857.0,3638.0,8715.0,517.0,4245.0,
50,5822434,47121219.0,382770816.0,0.12914,,2019,Wisconsin,WI,11574.699999999999,0.0,48198.8,16464.4,20159.7,0.0,16144.1,Republican
51,578759,5969054.0,46386306.0,0.13033,,2019,Wyoming,WY,926.0,3.0,4425.0,1386.0,2113.0,3.0,1394.0,Republican
0,4887681,16592304.0,162227014.0,0.10329,,2018,Alabama,AL,9865.0,0.0,26660.0,8296.0,8039.0,228.0,8213.0,Republican
1,735139,5518572.0,108173280.0,0.05993,,2018,Alaska,AK,3763.2,35.0,9732.199999999999,4485.6,1483.4,1334.1999999999998,1354.0,Independent
2,7158024,27700026.0,228260473.0,0.12259,,2018,Arizona,AZ,15016.0,0.0,35549.0,9608.0,10440.0,503.0,9503.0,
3,3009733,11523068.0,131189137.0,0.09396,,2018,Arkansas,AR,7856.603631000001,2.512284,25164.594201,5261.257782999999,11988.304679,470.83321,6551.8,
4,39461588,418195851.0,5206248809.0,0.08206,,2018,California,CA,95336.929,18.0,261216.963,119290.555,44249.479,2217.0,119982.0,Democrat
5,5691287,46101728.0,422071195.0,0.11121,,2018,Colorado,CO,9367.1,0.0,36810.8,10512.3,16931.4,0.0,10815.0,Democrat
6,3571520,122199828.0,645397416.0,0.19058,,2018,Connecticut,CT,6253.29068941,0.0,32374.820046299996,17762.93896887,5404.59038802,491.0,17703.0,Democrat
7,965479,5840392.0,69900350.0,0.08765,,2018,Delaware,DE,2171.0,0.0,10675.0,4106.0,4000.0,217.0,4013.0,Democrat
8,21244317,52524030.0,373498670.0,0.14309,,2018,Florida,FL,26317.0,0.0,76380.0,30267.0,18129.0,2598.0,29594.0,Republican
9,10511131,12314707.0,323931365.0,0.03818,,2018,Georgia,GA,14266.021784199998,0.0,49509.20612559,22454.50394631,11836.28039508,1143.80041083,23268.0,Republican
10,1420593,5054653.0,172391412.0,0.03275,,2018,Hawaii,HI,2571.0,19.0,14666.0,7486.0,3927.0,140.0,7352.0,
11,1750536,11726015.0,92911123.0,0.12954,,2018,Idaho,ID,2682.0,3.0,7496.3,3255.3,1559.0,166.0,3448.0000000000005,Republican
12,12723071,175203759.0,1735596056.0,0.10972,,2018,Illinois,IL,14832.555242930002,0.0,68001.59982711001,29423.860914200002,22386.53366998001,88.93,30333.0,Republican
13,6695497,28637042.0,250295002.0,0.11719,,2018,Indiana,IN,12421.0,0.0,31928.0,15971.0,3536.0,0.0,15275.0,Republican
14,3148618,36270519.0,386688889.0,0.09737,,2018,Iowa,IA,6389.0,30.0,22687.0,7258.0,9034.0,500.0,7240.0,Republican
15,2911359,32218845.0,177483921.0,0.1838,,2018,Kansas,KS,3748.9,15.0,15561.6,6371.3,5048.4,492.0,6339.0,Republican
16,4461153,59447336.0,284007745.0,0.20973,,2018,Kentucky,KY,12257.756163,0.0,33562.789418,11074.916100000002,10230.117155,0.0,10478.0,Republican
17,4659690,16900623.0,160087848.0,0.10891,,2018,Louisiana,LA,11158.961894,3.0,28421.661831999998,9118.192417,7840.5075209999995,596.0,9427.27412879,
18,1339057,7843830.0,83928069.0,0.09703,,2018,Maine,ME,2601.0,21.0,8246.6,3346.0,2186.0,169.0,3454.9000000000005,Republican
19,6035802,94760517.0,503763294.0,0.18937,,2018,Maryland,MD,12018.0,4.0,43322.0,17153.0,13015.0,858.0,16698.0,
20,6882635,332978731.0,1428117690.0,0.24046,,2018,Massachusetts,MA,13903.0,0.0,55328.0,26436.0,12285.0,608.1,30309.35,
21,9984072,310194092.0,689976771.0,0.45265,,2018,Michigan,MI,20289.907823,5.0,54380.907823,9882.0,24137.0,1194.0,10174.0,Republican
22,5606249,53173632.0,780709081.0,0.07145,,2018,Minnesota,MN,10406.032,0.0,37467.596,21102.778,5317.628999999997,0.0,21051.646,Democrat
23,2981020,6478402.0,75151474.0,0.08757,,2018,Mississippi,MS,7819.200000000001,5.1,20374.68,5645.3,5786.0,326.6000000000001,5653.93,Republican
24,6121623,14204399.0,255548610.0,0.05618,,2018,Missouri,MO,8186.0,9.0,25550.0,9153.0,8047.0,9.0,9016.0,Republican
25,6121623,14204399.0,255548610.0,0.05618,,2018,Missouri,MO,8186.0,9.0,25550.0,9153.0,8047.0,9.0,9016.0,Democrat
